Section,Phase / Week,Duration,Item Type,Item,Details / Mental Model,Resources,Status
Overview,Start Here,—,Rule,City metaphor,"Roads → Houses → Electricity → Whole city. Do not jump to Design Instagram first.",—,
Overview,Start Here,—,Rule,Core learning rule,"Whenever you learn a concept, implement a small version of it in MERN.",—,
Overview,Start Here,—,Mental Model,Request flow,Browser → DNS → Server → Database → Response,—,
Overview,Learn → Build,—,Pairing,Redis,Add caching to an Express API,—,
Overview,Learn → Build,—,Pairing,WebSockets,Build a real-time chat,—,
Overview,Learn → Build,—,Pairing,Queues,Send emails asynchronously,—,
Overview,Learn → Build,—,Pairing,CDN,Upload images to S3 and serve via CDN,—,
Overview,Learn → Build,—,Pairing,Load balancing,Run two Express servers behind Nginx locally,—,
Phase 0,Prerequisites,1 week,Goal,Understand internet basics,Browser → DNS → Server → Database → Response,"CodeKarle Prerequisites; ByteByteGo How Internet Works; Hussein Nasser (browser, HTTP, TCP)",
Phase 0,Prerequisites,1 week,Topic,How the Internet works,Don't go too deep — aim for intuition,"CodeKarle; ByteByteGo; Hussein Nasser",
Phase 0,Prerequisites,1 week,Topic,Browser request flow,,,
Phase 0,Prerequisites,1 week,Topic,DNS,,,
Phase 0,Prerequisites,1 week,Topic,IP Address,,,
Phase 0,Prerequisites,1 week,Topic,HTTP vs HTTPS,,,
Phase 0,Prerequisites,1 week,Topic,SSL / TLS,,,
Phase 0,Prerequisites,1 week,Topic,TCP vs UDP,,,
Phase 0,Prerequisites,1 week,Topic,REST API,,,
Phase 0,Prerequisites,1 week,Topic,JSON,,,
Phase 0,Prerequisites,1 week,Topic,Cookies,,,
Phase 0,Prerequisites,1 week,Topic,Sessions,,,
Phase 0,Prerequisites,1 week,Topic,JWT,,,
Phase 0,Prerequisites,1 week,Topic,CORS,,,
Phase 1,Computer Networking,1 week,Goal,Networking pieces you use as a MERN developer,HTTP Methods; Status Codes; Headers; HTTPS; TCP; WebSocket; Long Polling; SSE,CodeKarle Networking; ByteByteGo Networking,
Phase 1,Computer Networking,1 week,Topic,HTTP Methods,,,
Phase 1,Computer Networking,1 week,Topic,Status Codes,,,
Phase 1,Computer Networking,1 week,Topic,Headers,,,
Phase 1,Computer Networking,1 week,Topic,HTTPS,,,
Phase 1,Computer Networking,1 week,Topic,TCP,,,
Phase 1,Computer Networking,1 week,Topic,WebSocket,,,
Phase 1,Computer Networking,1 week,Topic,Long Polling,,,
Phase 1,Computer Networking,1 week,Topic,SSE (Server-Sent Events),,,
Phase 2,Databases,2 weeks,Goal,How data systems scale and stay correct,"SQL tables/keys/joins; Indexing; Transactions & ACID; NoSQL; Sharding; Replication; CAP; Eventual Consistency",ByteByteGo Databases; Hussein Nasser Database Playlist,
Phase 2,Databases,2 weeks,Topic,SQL: tables primary key foreign key joins,,,
Phase 2,Databases,2 weeks,Topic,Indexing,,,
Phase 2,Databases,2 weeks,Topic,Transactions & ACID,,,
Phase 2,Databases,2 weeks,Topic,NoSQL (MongoDB you already know),,,
Phase 2,Databases,2 weeks,Topic,Sharding,,,
Phase 2,Databases,2 weeks,Topic,Replication,,,
Phase 2,Databases,2 weeks,Topic,CAP Theorem,,,
Phase 2,Databases,2 weeks,Topic,Eventual Consistency,,,
Phase 3,Backend Architecture,2 weeks,Goal,Connect frontend gateway services databases,"Monolith: Frontend → Backend → DB | Microservices: Frontend → Gateway → Auth / Payment / Notification",CodeKarle; ByteByteGo,
Phase 3,Backend Architecture,2 weeks,Topic,Monolith — pros cons when to use,Skip Kubernetes for now,,
Phase 3,Backend Architecture,2 weeks,Topic,Microservices — pros cons when to use,,,
Phase 3,Backend Architecture,2 weeks,Topic,API Gateway,,,
Phase 3,Backend Architecture,2 weeks,Topic,Reverse Proxy,,,
Phase 3,Backend Architecture,2 weeks,Topic,Nginx,,,
Phase 4,Caching,1 week,Goal,Highest-impact performance pattern,"Without: Client → Server → DB | With: Client → Redis → DB (on miss)",Hussein Nasser Redis Playlist,
Phase 4,Caching,1 week,Topic,Why Redis?,,,
Phase 4,Caching,1 week,Topic,Cache Hit / Cache Miss,,,
Phase 4,Caching,1 week,Topic,TTL,,,
Phase 4,Caching,1 week,Topic,Cache Aside pattern,,,
Phase 5,Load Balancer,3 days,Goal,What happens when one server is not enough,"Without: Users → One Server | With: Users → Load Balancer → Server 1/2/3",ByteByteGo; CodeKarle,
Phase 5,Load Balancer,3 days,Topic,Round Robin,,,
Phase 5,Load Balancer,3 days,Topic,Least Connections,,,
Phase 6,Message Queues,1 week,Goal,Stop doing heavy work in the request path,User Registers → Queue → Email Worker → Email Sent,CodeKarle Kafka; ByteByteGo Kafka,
Phase 6,Message Queues,1 week,Topic,RabbitMQ,,,
Phase 6,Message Queues,1 week,Topic,Kafka,,,
Phase 6,Message Queues,1 week,Topic,Why not send emails directly in the API?,,,
Phase 6,Message Queues,1 week,Topic,Background / async jobs,,,
Phase 7,Storage,4 days,Goal,Separate structured data from files,"Images → AWS S3 | Data → Postgres / MongoDB",ByteByteGo CDN Videos,
Phase 7,Storage,4 days,Topic,Blob Storage,,,
Phase 7,Storage,4 days,Topic,CDN,,,
Phase 7,Storage,4 days,Topic,CloudFront,,,
Phase 7,Storage,4 days,Topic,Database vs file storage,,,
Phase 8,Scalability,2 weeks,Goal,Most important phase before interviews,"Horizontal vs Vertical; Stateless vs Stateful; Sticky Sessions; Replication; Partitioning; Sharding",ByteByteGo; CodeKarle,
Phase 8,Scalability,2 weeks,Topic,Horizontal scaling (1 → 10 servers),,,
Phase 8,Scalability,2 weeks,Topic,Vertical scaling (better CPU / RAM),,,
Phase 8,Scalability,2 weeks,Topic,Stateless vs Stateful,,,
Phase 8,Scalability,2 weeks,Topic,Sticky Sessions,,,
Phase 8,Scalability,2 weeks,Topic,Replication,,,
Phase 8,Scalability,2 weeks,Topic,Partitioning,,,
Phase 8,Scalability,2 weeks,Topic,Sharding,,,
Phase 9,Real System Design,4–6 weeks,Goal,Only after Phases 0–8,Watch full case studies once basics are solid,CodeKarle; ByteByteGo; Gaurav Sen,
Phase 9,Real System Design,4–6 weeks,Topic,Design WhatsApp,Do not start here,,
Phase 9,Real System Design,4–6 weeks,Topic,Design Uber,,,
Phase 9,Real System Design,4–6 weeks,Topic,Design Netflix,,,
Phase 9,Real System Design,4–6 weeks,Topic,Design Instagram,,,
Phase 9,Real System Design,4–6 weeks,Topic,Design YouTube,,,
Phase 9,Real System Design,4–6 weeks,Topic,Design Twitter / X,,,
Phase 9,Real System Design,4–6 weeks,Topic,Design URL Shortener,,,
